loss,run_time,iteration,K,max_steps,delta,ndcg,window_hours
-0.005805382151659791,1.0620441436767578,231,360.0,82.0,8725135.782183938,0.005805382151659791,2423.6488283844274
-0.018991371713130763,16.564276218414307,232,249.0,97.0,210216830.52064413,0.018991371713130763,58393.56403351226
-0.01886925557170581,14.397444248199463,233,171.0,92.0,149776054.41376898,0.01886925557170581,41604.45955938027
-0.019799930556043448,20.31283211708069,234,527.0,87.0,326088031.000861,0.019799930556043448,90580.00861135028
-0.007442171692860645,1.386871337890625,235,873.0,62.0,14209037.880545476,0.007442171692860645,3946.954966818188
-0.016935311995394678,5.54961633682251,236,51.0,94.0,53558708.818769425,0.016935311995394678,14877.41911632484
-0.018962708998603216,7.315582036972046,237,447.0,80.0,68108745.68841131,0.018962708998603216,18919.096024558698
-0.019683487247916687,18.732672452926636,238,470.0,100.0,271120570.59382385,0.019683487247916687,75311.26960939552
-0.01942685968600478,16.45643138885498,239,128.0,70.0,227098752.4637276,0.01942685968600478,63082.98679547989
-0.019938750933375417,21.988245964050293,240,504.0,73.0,446100787.83942455,0.019938750933375417,123916.88551095127
-0.012971080144704966,2.771587610244751,241,291.0,32.0,28030782.54260086,0.012971080144704966,7786.328484055794
-0.01943131317330476,15.545175313949585,242,348.0,55.0,179605732.71958572,0.01943131317330476,49890.48131099603
-0.019755606119570522,19.219046115875244,243,417.0,97.0,284367333.03224427,0.019755606119570522,78990.92584229007
-0.020036712787788305,22.57555866241455,244,220.0,90.0,618797472.7072765,0.020036712787788305,171888.18686313235
-0.013823388575013031,3.311223268508911,245,596.0,67.0,33539034.397467252,0.013823388575013031,9316.398443740904
-0.019778576679152626,21.15631365776062,246,560.0,77.0,380135174.218258,0.019778576679152626,105593.10394951612
-0.01958353453353532,17.579091548919678,247,371.0,84.0,244103168.89332518,0.01958353453353532,67806.43580370143
-0.02001057355631465,22.836096048355103,248,486.0,89.0,483475462.3749233,0.02001057355631465,134298.7395485898
-0.019941173803484757,20.934547424316406,249,618.0,92.0,345030068.06687313,0.019941173803484757,95841.68557413142
-0.01914343176542331,16.371557474136353,250,401.0,79.0,200914351.99646518,0.01914343176542331,55809.54222124033
-0.011952193581226407,2.383636951446533,251,805.0,96.0,24355728.673180394,0.011952193581226407,6765.480186994554
-0.020018629218441095,23.285226583480835,252,536.0,86.0,560503963.1490113,0.020018629218441095,155695.5453191698
-0.020053450813770454,22.179416179656982,253,926.0,82.0,415577246.76190346,0.020053450813770454,115438.12410052874
-0.019405725764014024,18.856656074523926,254,158.0,99.0,297124807.35397387,0.019405725764014024,82534.66870943719
-0.01894079186780287,15.05545163154602,255,331.0,93.0,158707338.33194336,0.01894079186780287,44085.37175887316
-0.003101732268821644,0.6467709541320801,256,184.0,88.0,3248887.133496225,0.003101732268821644,902.4686481933958
-0.020107404824565363,22.700791835784912,257,235.0,95.0,561936274.3744733,0.020107404824565363,156093.4095484648
-0.020062801729110024,22.627603769302368,258,293.0,91.0,508528016.6874787,0.020062801729110024,141257.78241318854
